,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive
148,Intermarche,38,Super Vizille,Super_Vizille,38220 Vizille,315 rue Ambroise Croizat-ZI du Cornage-38220 Vizille,45.084249,5.762448,https://www.intermarche.com/magasins/10865/vizille-38220/infos-pratiques
149,Intermarche,42,Super Boën Sur Lignon,Super_Boen_Sur_Lignon,42130 Boën Sur Lignon,562 Chemin De Giraud-Zone Artisanale Parc Giraud-42130 Boën Sur Lignon,45.735107,4.010139,https://www.intermarche.com/magasins/03480/boen-sur-lignon-42130/infos-pratiques
150,Intermarche,42,Super Chamboeuf,Super_Chamboeuf,42330 Chamboeuf,ZA la Grande route de Rivas-42330 Chamboeuf,45.583905,4.303679,https://www.intermarche.com/magasins/06882/chamboeuf-42330/infos-pratiques
151,Intermarche,42,Super Chazelles-Sur-Lyon,Super_Chazelles-Sur-Lyon,42140 Chazelles-Sur-Lyon,25 rue Lamartine-42140 Chazelles-Sur-Lyon,45.634386,4.381321,https://www.intermarche.com/magasins/02529/chazelles-sur-lyon-42140/infos-pratiques
152,Intermarche,42,Super Civens,Super_Civens,42110 Civens,Rn 82-Les vernes-42110 Civens,45.753541,4.219158,https://www.intermarche.com/magasins/10152/civens-42110/infos-pratiques
153,Intermarche,42,Contact Commelle-Vernay,Contact_Commelle-Vernay,42120 Commelle-Vernay,46 Allée du Parc-42120 Commelle-Vernay,45.999382,4.060817,https://www.intermarche.com/magasins/05507/commelle-vernay-42120/infos-pratiques
154,Intermarche,42,Hyper Firminy,Hyper_Firminy,42700 Firminy,Rue De Chazeau-Zac Des Bruneaux-42700 Firminy,45.379802,4.276192,https://www.intermarche.com/magasins/10715/firminy-42700/infos-pratiques
155,Intermarche,42,Super Lentigny,Super_Lentigny,42155 Lentigny,Rue de la Bruyère-42155 Lentigny,45.992364,3.984278,https://www.intermarche.com/magasins/05850/lentigny-42155/infos-pratiques
156,Intermarche,42,Super L'horme,Super_L_horme,42152 L'horme,38 Avenue Berthelot-Rue Du Plat De Gier-42152 L'horme,45.492119,4.557524,https://www.intermarche.com/magasins/10526/l'horme-42152/infos-pratiques
157,Intermarche,42,Super Montbrison,Super_Montbrison,42600 Montbrison,10 Allée Jean 1er du Forez-Za Des Granges-42600 Montbrison,45.59573,4.082751,https://www.intermarche.com/magasins/10115/montbrison-42600/infos-pratiques
158,Intermarche,42,Super Noirétable,Super_Noiretable,42440 Noirétable,12 Rue de l'Aubépine-42440 Noirétable,45.822353,3.764576,https://www.intermarche.com/magasins/10132/noiretable-42440/infos-pratiques
159,Intermarche,42,Super Riorges,Super_Riorges,42153 Riorges,480 Avenue Charles de Gaulle-Zone commerciale du Pontet-42153 Riorges,46.054426,4.06435,https://www.intermarche.com/magasins/02768/riorges-42153/infos-pratiques
160,Intermarche,42,Super Rive de Gier,Super_Rive_de_Gier,42800 Rive de Gier,Avenue du Maréchal Juin-42800 Rive de Gier,45.532943,4.628441,https://www.intermarche.com/magasins/10687/rive-de-gier-42800/infos-pratiques
161,Intermarche,42,Super Roche la Molière,Super_Roche_la_Moliere,42230 Roche la Molière,3 boulevard Pierre et Marie Curie-42230 Roche la Molière,45.42257,4.315293,https://www.intermarche.com/magasins/10473/roche-la-moliere-42230/infos-pratiques
162,Intermarche,42,Express Saint Chamond,Express_Saint_Chamond,42400 Saint Chamond,8 rue Pierre Curie-42400 Saint Chamond,45.476175,4.511087,https://www.intermarche.com/magasins/02005/saint-chamond-42400/infos-pratiques
163,Intermarche,42,Super Saint-Cyprien,Super_Saint-Cyprien,42160 Saint-Cyprien,9 rue des Prairies-42160 Saint-Cyprien,45.528016,4.231619,https://www.intermarche.com/magasins/01333/saint-cyprien-42160/infos-pratiques
164,Intermarche,42,Super Saint Etienne,Super_Saint_Etienne,42100 Saint Etienne,14 Rue De La Richelandiere-42100 Saint Etienne,45.438725,4.400874,https://www.intermarche.com/magasins/10862/saint-etienne-42100/infos-pratiques
165,Intermarche,42,Super Saint-Etienne,Super_Saint-Etienne,42100 Saint-Etienne,15 rue Nicolas Chaize-Quartier St Etienne Bellevue-42100 Saint-Etienne,45.418299,4.396666,https://www.intermarche.com/magasins/10218/saint-etienne-42100/infos-pratiques
166,Intermarche,42,Contact Saint-Germain-Laval,Contact_Saint-Germain-Laval,42260 Saint-Germain-Laval,150 rue de la Loire-Lieu-dit Pralong-42260 Saint-Germain-Laval,45.833199,4.019296,https://www.intermarche.com/magasins/50279/saint-germain-laval-42260/infos-pratiques
167,Intermarche,42,Contact Saint Heand,Contact_Saint_Heand,42570 Saint Heand,346 Route de Saint Bonnet Les Oules-ZA du Malval-42570 Saint Heand,45.536453,4.373417,https://www.intermarche.com/magasins/07802/saint-heand-42570/infos-pratiques
168,Intermarche,42,Super Saint-Nizier sous Charlieu,Super_Saint-Nizier_sous_Charlieu,42190 Saint-Nizier sous Charlieu,538 rue Magellan-42190 Saint-Nizier sous Charlieu,46.152457,4.155911,https://www.intermarche.com/magasins/10656/saint-nizier-sous-charlieu-42190/infos-pratiques
169,Intermarche,42,Contact Saint Romain Le Puy,Contact_Saint_Romain_Le_Puy,42610 Saint Romain Le Puy,2a Rue Du 8 Mai 1945-42610 Saint Romain Le Puy,45.554787,4.119648,https://www.intermarche.com/magasins/05171/saint-romain-le-puy-42610/infos-pratiques
170,Intermarche,42,Contact St Symphorien De Lay,Contact_St_Symphorien_De_Lay,42470 St Symphorien De Lay,15 Chemin De Marigny-Za Lafayette-42470 St Symphorien De Lay,45.950769,4.206455,https://www.intermarche.com/magasins/06557/st-symphorien-de-lay-42470/infos-pratiques
171,Intermarche,42,Contact Usson-en-forez,Contact_Usson-en-forez,42550 Usson-en-forez,Avenue de la Gare-42550 Usson-en-forez,45.390224,3.944747,https://www.intermarche.com/magasins/06674/usson-en-forez-42550/infos-pratiques
172,Intermarche,63,Super Ambert,Super_Ambert,63600 Ambert,Route du Puy-Saint-Ferreol des Cotes-63600 Ambert,45.538046,3.728024,https://www.intermarche.com/magasins/08115/ambert-63600/infos-pratiques
173,Intermarche,63,Contact Billom,Contact_Billom,63160 Billom,Avenue de la République-63160 Billom,45.725429,3.335144,https://www.intermarche.com/magasins/01359/billom-63160/infos-pratiques
174,Intermarche,63,Contact Blanzat,Contact_Blanzat,63112 Blanzat,Za La Fontaine-63112 Blanzat,45.824986,3.073103,https://www.intermarche.com/magasins/02886/blanzat-63112/infos-pratiques
175,Intermarche,63,Contact Bourg Lastic,Contact_Bourg_Lastic,63760 Bourg Lastic,Pacher De La Besse-63760 Bourg Lastic,45.649921,2.56711,https://www.intermarche.com/magasins/03405/bourg-lastic-63760/infos-pratiques
176,Intermarche,63,Super Brassac-les-Mines,Super_Brassac-les-Mines,63570 Brassac-les-Mines,"2, rue des Sarillères-63570 Brassac-les-Mines",45.413272,3.318365,https://www.intermarche.com/magasins/06969/brassac-les-mines-63570/infos-pratiques
177,Intermarche,63,Super Ceyrat,Super_Ceyrat,63122 Ceyrat,10 avenue de Royat-63122 Ceyrat,45.74705,3.06407,https://www.intermarche.com/magasins/06917/ceyrat-63122/infos-pratiques
178,Intermarche,63,Super Champeix,Super_Champeix,63320 Champeix,Route de Montaigut le Blanc-63320 Champeix,45.563121,3.077034,https://www.intermarche.com/magasins/50357/champeix-63320/infos-pratiques
