index,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
44,Leclerc,15,Leclerc Aurillac Belbex,Leclerc_Aurillac_Belbex, 15000 Aurillac , 1-3 Rue Cugnot 15000 Aurillac ,44.9155071,2.424593,https://fd3-courses.leclercdrive.fr/magasin-011501-011501-aurillac-belbex.aspx,http://maps.google.fr/maps?q=44.9155071,2.424593
45,Leclerc,15,Leclerc Aurillac Piéton Centre Ville,Leclerc_Aurillac_Piéton_Centre_Ville, 15000 Aurillac , 36 rue des Carmes 15000 Aurillac ,44.925398,2.441925,https://fd3-courses.leclercdrive.fr/magasin-011502-011502-aurillac-pieton-centre-ville.aspx,http://maps.google.fr/maps?q=44.925398,2.441925
46,Leclerc,15,Leclerc Saint-Flour,Leclerc_Saint-Flour, 15100 Saint-Georges , ZA du Crozatier 15100 Saint-Georges ,45.031003,3.134376,https://fd13-courses.leclercdrive.fr/magasin-021501-021501-saint-flour.aspx,http://maps.google.fr/maps?q=45.031003,3.134376
47,Leclerc,12,Leclerc Aubin  Decazeville,Leclerc_Aubin__Decazeville, 12110 Aubin , ZI du Plegat 12110 Aubin ,44.556034,2.292702,https://fd4-courses.leclercdrive.fr/magasin-034602-034602-aubin-decazeville.aspx,http://maps.google.fr/maps?q=44.556034,2.292702
48,Leclerc,46,Leclerc Figeac,Leclerc_Figeac, 46100 Figeac , Lieu dit Herbemols 46100 Figeac ,44.590225,2.032726,https://fd4-courses.leclercdrive.fr/magasin-034601-034601-figeac.aspx,http://maps.google.fr/maps?q=44.590225,2.032726
49,Leclerc,12,Leclerc Luc-la-Primaube,Leclerc_Luc-la-Primaube, 12450 Luc-la-Primaube , 1 rue de l'Industrie 12450 Luc-la-Primaube ,44.300672,2.556239,https://fd5-courses.leclercdrive.fr/magasin-021211-021211-luc-la-primaube.aspx,http://maps.google.fr/maps?q=44.300672,2.556239
50,Leclerc,26,Leclerc Bourg-de-Péage,Leclerc_Bourg-de-Péage, 26300 Bourg de Peage , 9027 allée de Picardie 26300 Bourg de Peage ,45.023341,5.04118,https://fd2-courses.leclercdrive.fr/magasin-052601-052601-bourg-de-peage.aspx,http://maps.google.fr/maps?q=45.023341,5.04118
51,Leclerc,26,Leclerc Bourg-lès-Valence,Leclerc_Bourg-lès-Valence, 26500 Bourg-lès-Valence , Allée des sapins 26500 Bourg-lès-Valence ,44.9629,4.879754,https://fd6-courses.leclercdrive.fr/magasin-082601-082601-bourg-les-valence.aspx,http://maps.google.fr/maps?q=44.9629,4.879754
52,Leclerc,26,Leclerc Valence,Leclerc_Valence, 26000 Valence , 401 avenue Victor Hugo 26000 Valence ,44.911203,4.884228,https://fd6-courses.leclercdrive.fr/magasin-092601-092601-valence.aspx,http://maps.google.fr/maps?q=44.911203,4.884228
53,Leclerc,38,Leclerc Bourgoin-Jallieu,Leclerc_Bourgoin-Jallieu, 38300 Bourgoin-Jallieu , Route des frères Lumière 38300 Bourgoin-Jallieu ,45.59425,5.269821,https://fd10-courses.leclercdrive.fr/magasin-083801-083801-bourgoin-jallieu.aspx,http://maps.google.fr/maps?q=45.59425,5.269821
54,Leclerc,38,Leclerc Chatte,Leclerc_Chatte, 38160 Chatte , ZI Les Gameux 38160 Chatte ,45.145953,5.303457,https://fd16-courses.leclercdrive.fr/magasin-013801-013801-chatte.aspx,http://maps.google.fr/maps?q=45.145953,5.303457
