,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
100,Casino,31,Supermarché Casino TOULOUSE Basso Cambo,Supermarche_Casino_TOULOUSE_Basso_Cambo,31555 TOULOUSE,PLACE EDOUARD BOUILLIERE 31555 TOULOUSE,43.56886144,1.39600318,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31850/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.56886144%2C1.39600318&hl=fr
101,Casino,31,Supermarché Casino Toulouse Bonnefoy,Supermarche_Casino_Toulouse_Bonnefoy,31555 TOULOUSE,25 RUE DU FAUBOURG BONNEFOY 31555 TOULOUSE,43.61753213,1.45475043,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31902/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.61753213%2C1.45475043&hl=fr
102,Casino,31,Supermarché Casino Toulouse Honoré Serres,Supermarche_Casino_Toulouse_Honore_Serres,31555 TOULOUSE,37 BIS AVENUE HONORE SERRES 31555 TOULOUSE,43.61314358,1.43811719,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31582/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.61314358%2C1.43811719&hl=fr
103,Casino,31,Supermarché Casino Toulouse La Cépière,Supermarche_Casino_Toulouse_La_Cepiere,31555 TOULOUSE,389 ROUTE DE SAINT SIMON 31555 TOULOUSE,43.58959133,1.41434924,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31919/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.58959133%2C1.41434924&hl=fr
104,Casino,31,Supermarché Casino TOULOUSE Minimes,Supermarche_Casino_TOULOUSE_Minimes,31555 TOULOUSE,178 AVENUE DES MINIMES 31555 TOULOUSE,43.6266887,1.43410383,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31906/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.6266887%2C1.43410383&hl=fr
105,Casino,31,Casino #drive24/24 TOULOUSE Muret,Casino__drive24_24_TOULOUSE_Muret,31555 TOULOUSE,122 AVENUE DE MURET 31555 TOULOUSE,43.584194,1.427711,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31907/?moderetrait=ZC&depotIdPrl=D31323&depotIdRef=A31907,https://maps.google.com/maps?dirflg=d&daddr=43.584194%2C1.427711&hl=fr
106,Casino,31,Supermarché Casino TOULOUSE Pont Des Demoiselles,Supermarche_Casino_TOULOUSE_Pont_Des_Demoiselles,31555 TOULOUSE,1 AV ANTOINE DE SAINT EXUPERY 31555 TOULOUSE,43.587693,1.461138,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31907/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.587693%2C1.461138&hl=fr
107,Casino,31,Supermarché Casino Toulouse Saint-Georges,Supermarche_Casino_Toulouse_Saint-Georges,31555 TOULOUSE,51 BOULEVARD LAZARE CARNOT 31555 TOULOUSE,43.60314316,1.44945618,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31143/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.60314316%2C1.44945618&hl=fr
108,Casino,33,Supermarché Casino Talence,Supermarche_Casino_Talence,33522 TALENCE,412 COURS DE LA LIBERATION 33522 TALENCE,44.80681194,-0.5916359,http://www.casino.fr/ecommerce/GC-catalog/fr/WE33914/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=44.80681194%2C-0.5916359&hl=fr
110,Casino,34,Supermarché Casino BEZIERS Polygone,Supermarche_Casino_BEZIERS_Polygone,34032 BEZIERS,3 CARREFOUR HOURS 34032 BEZIERS,43.344233,3.215795,http://www.casino.fr/ecommerce/GC-catalog/fr/WE34380/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.344233%2C3.215795&hl=fr
